origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV154_Turbellaria_Acoelomorpha_Aphanastoma_Aphanastoma_virescens,1,46,0.295551,0.569104,-3605.52,-3703.07,6.67519e-06,1.99999,NA,NA,NA,NA
placements,ASV28_Turbellaria_Rhabdocoela_Gnathorhynchus_Gnathorhynchus_inermis,1,49,0.263707,0.429148,-3554.65,-3578.69,0.0734106,0.315212,NA,NA,NA,NA
placements,ASV142_Turbellaria_Rhabdocoela_Cilionema_Cilionema_hawaiiensis,1,147,0.213212,0.606226,-3601.61,-3632.9,0.0142241,0.457277,NA,NA,NA,NA
placements,ASV170_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.189946,0.175127,-3680.63,-3752.26,9.20381e-06,1.53536,NA,NA,NA,NA
placements,ASV139_Turbellaria_Rhabdocoela_Wahlia_Wahlia_macrostylifera,1,148,0.0844316,0.118937,-3670.61,-3723.61,0.0292993,1.00596,NA,NA,NA,NA
placements,ASV182_Turbellaria_Acoelomorpha_Solenofilomorpha_Solenofilomorpha_pellucida,1,49,0.108454,0.587792,-3442.09,-3513.01,0.0617527,1.50007,NA,NA,NA,NA
placements,ASV121_Turbellaria_Macrostomorpha_Dolichomacrostomum_Dolichomacrostomum_uniporum,1,37,0.922415,0.920123,-3402.51,-3405,0.0133236,0.0197681,NA,NA,NA,NA
placements,ASV17_Turbellaria_Rhabdocoela_Adenopharynx_Adenopharynx_mitrabursalis,1,148,0.0922484,0.0976167,-3683.43,-3735.95,0.0292993,0.955886,NA,NA,NA,NA
placements,ASV90_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,56,0.0801792,0.174655,-988.526,-1033.71,6.29448e-06,1.31709,NA,NA,NA,NA
placements,ASV114_Turbellaria_Macrostomorpha_Microstomum_Microstomum_lineare,1,210,0.0500001,0.0500025,-3364.91,-3366.28,5e-07,6.11352e-06,NA,NA,NA,NA
placements,ASV101_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,53,0.167218,0.386848,-2877.71,-2942.33,6.25781e-06,1.31533,NA,NA,NA,NA
placements,ASV75_Turbellaria_Acoelomorpha_Mecynostomum_Mecynostomum_sp.,1,144,0.0835025,0.182325,-3709.87,-3792.26,0.00762574,1.86505,NA,NA,NA,NA
