origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV15_Turbellaria_Prolecithophora_Plagiostomum_Plagiostomum_cinctum,1,410,0.332718,0.295249,-20360.9,-20371.9,0.0170505,0.379298,NA,NA,NA,NA
placements,ASV60_Turbellaria_Rhabdocoela_Ethmorhynchus_Ethmorhynchus_anophthalmus,1,684,1,1,-21371.9,-21376.5,6.52301e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV90_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,399,0.446236,0.835791,-6232.04,-6255.32,0.204721,1.10125,NA,NA,NA,NA
placements,ASV151_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,728,0.518216,0.393244,-21012.1,-21026.8,0.0457113,0.48629,NA,NA,NA,NA
placements,ASV65_Turbellaria_Polycladida_Notoplana_Notoplana_australis,1,409,0.3567,0.522799,-20088.5,-20097.5,0.0157637,0.296265,NA,NA,NA,NA
placements,ASV22_Turbellaria_Rhabdocoela_Adenopharynx_Adenopharynx_mitrabursalis,1,391,0.843409,0.932204,-21377,-21388.1,0.0409018,0.367678,NA,NA,NA,NA
placements,ASV58_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.455216,0.279403,-19727.2,-19757.9,0.101875,1.19758,NA,NA,NA,NA
placements,ASV61_Turbellaria_Rhabdocoela_Balgetia_Balgetia_semicirculifera,1,343,0.869894,0.837385,-21210.2,-21212.8,0.0917206,0.0355728,NA,NA,NA,NA
placements,ASV9_Turbellaria_Rhabdocoela_Proxenetes_Proxenetes_puccinellicola,1,65,0.0660586,0.0808312,-21525.4,-21527.6,5e-07,6.11352e-06,NA,NA,NA,NA
placements,ASV53_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-21629.1,-21631.9,6.50911e-06,0.00328142,NA,NA,NA,NA
placements,ASV153_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_sp.,1,2,0.880188,0.866073,-21610.1,-21611.8,9.20906e-06,0.0100679,NA,NA,NA,NA
placements,ASV120_Turbellaria_Acoelomorpha_Avagina_Avagina_sp.,1,408,0.746624,0.816877,-20182.1,-20221.2,0.0830752,1.7619,NA,NA,NA,NA
placements,ASV75_Turbellaria_Acoelomorpha_Mecynostomum_Mecynostomum_sp.,1,408,0.387728,0.175998,-20445.5,-20481.8,0.100471,1.46422,NA,NA,NA,NA
placements,ASV45_Turbellaria_Rhabdocoela_Balgetia_Balgetia_semicirculifera,1,343,0.841479,0.800119,-21207.7,-21210.2,0.092585,0.0315157,NA,NA,NA,NA
placements,ASV195_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.453349,0.205343,-19055.3,-19088.6,0.103519,1.35749,NA,NA,NA,NA
placements,ASV38_Turbellaria_Prolecithophora_Allostoma_Allostoma_pallidum,1,164,0.195731,0.265087,-21070.2,-21091.2,0.0290701,0.789856,NA,NA,NA,NA
placements,ASV100_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.467677,0.317225,-20203.2,-20234.4,0.102211,1.20683,NA,NA,NA,NA
placements,ASV106_Turbellaria_Rhabdocoela_Cilionema_Cilionema_hawaiiensis,1,708,0.545745,0.520599,-21410.4,-21413.1,0.0624152,0.0523902,NA,NA,NA,NA
placements,ASV16_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,16,1,1,-21439.9,-21443.5,6.14184e-06,0.0033019,NA,NA,NA,NA
placements,ASV155_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,729,1,1,-21056,-21059.6,6.50911e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV186_Turbellaria_Prolecithophora_Ulianinia_Ulianinia_mollissima,1,650,0.72457,0.231069,-20845.8,-20866.8,9.08904e-06,0.719485,NA,NA,NA,NA
placements,ASV189_Turbellaria_Acoelomorpha_Kuma_Kuma_viridis,1,408,0.376494,0.220682,-20997.6,-21029.5,0.0981332,1.31403,NA,NA,NA,NA
placements,ASV144_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,399,0.424237,0.743835,-17949.2,-17979.4,0.177295,1.25861,NA,NA,NA,NA
placements,ASV130_Turbellaria_Acoelomorpha_Mecynostomum_Mecynostomum_sp.,1,408,0.578497,0.497479,-20559.3,-20596.6,0.100452,1.5448,NA,NA,NA,NA
placements,ASV114_Turbellaria_Macrostomorpha_Microstomum_Microstomum_lineare,1,408,0.789901,0.917272,-20271.2,-20277,0.0860994,0.17659,NA,NA,NA,NA
placements,ASV33_Turbellaria_Rhabdocoela_Danorhynchus_Danorhynchus_sp.,1,436,0.476437,0.277222,-21076.5,-21079.5,0.00361898,0.0349081,NA,NA,NA,NA
placements,ASV7_Turbellaria_Rhabdocoela_Gnathorhynchus_Gnathorhynchus_inermis,1,548,0.393758,0.414564,-21227.5,-21229.2,0.00288022,0.0155525,NA,NA,NA,NA
placements,ASV111_Turbellaria_Acoelomorpha_Pseudmecynostomum_Pseudmecynostomum_bruneofilum,1,408,0.589889,0.714835,-20852.8,-20886.8,0.0978468,1.38838,NA,NA,NA,NA
